项目,分类,分类2,年份函数,日期,月份函数,账户,金额
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月1日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥60.00
杂物,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月1日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月2日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥24.00
话费,水电气话费缴费 (https://app.notion.com/p/885f2801f5db8246b4d681cab4f66b4e?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月2日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥50.00
通勤打车,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月3日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥14.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月3日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥37.00
鸡蛋、醋,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月3日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月4日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥58.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月5日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥45.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月6日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥100.00
早餐,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月7日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥7.00
回家车票,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月7日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
西瓜、甲醛试剂盒,其他支出 (https://app.notion.com/p/8d1f2801f5db82f29c3b81c6dd7e0a8d?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月7日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥20.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月8日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥27.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月8日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥60.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月9日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥23.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月9日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥30.00
吃饭、大米先生充值,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月10日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥514.00
被子床笠,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry&Flora (https://app.notion.com/p/FOR-Jerry-Flora-3bef2801f5db8073a8f4d053bee94cbe?pvs=21),2026年,2026年7月12日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥180.00
吃饭,伙食支出 (https://app.notion.com/p/817f2801f5db82b4bf5001257ed27946?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月13日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥25.50
卫生纸,生活支出 (https://app.notion.com/p/3a9f2801f5db809d804be0a2d947064e?pvs=21),FOR Jerry (https://app.notion.com/p/FOR-Jerry-3bef2801f5db806e843ddbe7f24f03b4?pvs=21),2026年,2026年7月13日,2026年07月,Jerry (https://app.notion.com/p/Jerry-da2f2801f5db8390946d81fded9df326?pvs=21),¥10.00
